-philia	['-philie']
wolfram	['']
scythe	['sensen', 'Sense', 'mähen']
Campidanese Sardinian	['Campidanesisch']
income	['Einkommen']
tingle	['Prickeln']
in earnest	['ernsthaft']
bathing cap	['']
discipline	['disziplinarisch bestrafen', 'Disziplin', 'Bestrafung', 'Strafe', 'disziplinieren']
smoke	['Rauch', 'räuchern', 'rauchen']
quarkonium	['Quarkonium']
take place	['stattfinden']
hex key	['']
logograph	['Logogramm']
vacuum cleaner	['Staubsauger']
sobriety	['Gedecktheit', 'Nüchternheit', 'Ernsthaftigkeit']
outdated	['veraltet', 'überholt']
boron	['Bor']
sesame oil	['Sesamsamenöl', 'Sesamöl']
professional university	['']
immateriality	['Immaterialität']
international	['international']
there's been an accident	['es ist ein Unfall passiert']
American studies	['Amerikanistik']
it was delicious	['es war köstlich', 'es hat mir sehr gut geschmeckt', 'es hat uns sehr gut geschmeckt']
noninstrumental	['nichtinstrumental']
hortatory	['ermunternd', 'anspornend']
tableware	['Geschirr']
sportswear	['Sportbekleidung']
succumb	['unterwerfen', 'erliegen', 'sich ergeben', 'nachgeben', 'sterben']
morning dress	['Cutaway']
autotypic	['autotypisch']
Miocene	['Miozän']
oil platform	['Bohrinsel']
Finno-Ugric	['finno-ugrische Sprachen']
oneiric	['']
pantheist	['Pantheist']
cube root	['Kubikwurzel']
herbaceous	['krautig']
Taiwanese	['Taiwanisch', 'taiwanisch', 'Taiwan-', 'Taiwaner', 'Taiwanerin']
mulled wine	['Glühwein']
constructivism	['Konstruktivismus']
minigolf	['']
reassess	['']
inevitability	['Unvermeidlichkeit']
absurd	['absurd']
human rights	['Menschenrechte']
overalls	['Latzhose']
Réunion	['Réunion']
stick out like a sore thumb	['auffallen wie ein bunter Hund']
species name	['Artname']
coherent	['stimmig', 'schlüssig', 'zusammenhängend', 'wiederspruchsfrei', 'folgerichtig', 'kohärent']
Southern Hemisphere	['Südhalbkugel']
spar	['', 'Spiere', 'Rundholz']
donga	['Donga']
Valais	['Kanton Wallis']
gasket	['Dichtung']
ruler	['Herrscher', 'Lineal']
scarce copper	['Dukatenfalter']
dishrag	['Spüllappen']
doublet	['Dublette']
coulrophobia	['Coulrophobie']
put down	['einschläfern']
Chorzów	['Königshütte']
ice skate	['Schlittschuh']
Aquitanian	['aquitanisch']
toreador	['Torero']
single-handedly	['eigenhändig']
hatlessness	['Hutlosigkeit']
as the crow flies	['Luftlinie']
programmer	['Programmiererin', 'Programmiergerät', 'Programmierer']
deadpan	['ausdruckslos']
too many cooks spoil the broth	['viele Köche verderben den Brei']
microphone	['Mikrofon']
Bechuanaland	['Betschuanaland']
stationary bicycle	['']
literary	['literarisch']
aoudad	['']
oh my God	['oh mein Gott']
Aruküla	['Arroküll', 'Aruküla']
emery cloth	['Schleifleinen']
eponymous	['namensgebend']
technetium	['Technetium']
HTML-based	['HTML-basiert']
poot	['Pups']
gerund	['Gerundium', 'Vertretungswort']
undergraduate	['Student']
kingslayer	['Königsmörder']
ninety-five	['fünfundneunzig']
endorse	['empfehlen', 'bestätigen', 'unterstützen']
thighbone	['Oberschenkelknochen', 'Femur']
Bayer designation	['Bayer-Bezeichnung']
copycat	['Nachäffer', 'Nachahmer']
cocaine	['Kokain']
solar system	['', 'Sonnensystem']
nephew	['Neffe']
marten	['Marder']
archebiosis	['']
goji berry	['']
rosé wine	['Roséwein']
bedeck	['verzieren', 'schmücken']
mass media	['Massenmedien']
tremor	['Beben', 'Zittern', 'zittern']
politics	['Politik']
genuflect	['niederknien']
brand name	['']
sight	['', 'sehen', 'Sehenswürdigkeit', 'anvisieren', 'Gesicht', 'Visier', 'erblicken']
Jehovah's Witness	['Zeuge Jehovas']
capybara	['Capybara']
turn the other cheek	['die andere Backe hinhalten', 'die andere Wange hinhalten']
unstoppable	['unaufhaltbar']
Trajan	['Trajan']
Lüneburg	['Lüneburg']
nonalcoholic	['alkoholfrei']
Aeschylus	['Aischylos']
major axis	['Hauptachse']
general anesthetic	['Narkotikum', 'Narkosemittel', 'Allgemeinanästhetikum']
blogger	['Blogger', 'Bloggerin']
animist	['Animist', 'Animistin']
thriller	['Thriller']
electrodynamics	['Elektrodynamik']
IED	['USBV']
clangour	['Getöse', 'Schall']
speak one's mind	['offen seine Meinung sagen']
varicose vein	['Krampfader', 'Krampfadern', 'Varix']
Juche	['Chuch’e']
cruiser	['Kreuzer']
silly string	['Luftschlangenspray']
pneumatic	['pneumatisch']
infectiology	['Infektiologie']
vicious	['übel', 'boshaft', 'böse', 'unmoralisch']
teamwork	['Teamwork', 'Kollektivarbeit', 'Teamarbeit', 'Gruppenarbeit']
workplace	['Arbeitsplatz']
glorification	['Glorifizierung']
numeracy	['Zahlenanalphabetismus']
Tambov	['Tambow']
sandstone	['Sandstein']
al-Quds	['']
liturgical	['liturgisch']
integral transform	['Funktional']
anterior chamber	['vordere Augenkammer']
hairbrush	['Haarbürste']
oleic acid	['Ölsäure']
Minorca	['Menorca']
precedence	['Vorrang']
gee up	['']
crime scene	['Tatort']
punctuality	['Pünktlichkeit']
nightclub	['Nightclub', 'Nachtklub']
courier	['Kurierdienst', 'Reiseführer', 'Kurier']
salaam	['salem']
soba	['Soba']
free variable	['freie Variable']
involucre	['Hüllblatt']
foster father	['Ziehvater', 'Pflegevater', 'Nährvater']
languid	['träge']
quattuordecillion	['Quattuordezillion']
Stradivarius	['Stradivarius', 'Stradivari']
roll one's eyes	['die Augen rollen']
vocabulary word	['Vokabel']
rag	['Unfug treiben', 'Lappen', 'Fetzen', 'Lumpen']
Thing	['Ding', 'Thing']
synchronisation	['']
bier	['Bahre']
radiological	['radiologisch']
pact	['Vertrag', 'Pakt']
be born	['geboren werden', 'geboren sein']
painted hunting dog	['']
Standard German	['Standarddeutsch']
hot-air balloon	['Heißluftballon']
grass court	['Grasplatz']
rouse	['erwecken', 'aufwachen', 'aufwecken', 'erwachen']
Kosovan	['kosovarisch']
blooming	['verflucht', 'verdammt', 'verflixt']
pantheistical	['']
terminology	['Terminologie', 'Fachsprache']
mambo	['Mambo']
all the best	['alles Gute']
booking	['Reservierung', 'Buchung']
washing powder	['Waschpulver']
stoker	['', 'Heizer']
wood carving	['Holzschnitzerei']
cobra	['Kobra']
Adygea	['Adygeja']
hummus	['Hummus']
that is	['das heißt']
infected	['infiziert']
unilingualism	['Einsprachigkeit']
panache	['Federbusch', 'Schwung', 'Elan']
lime	['', 'Kalk', 'Limette', 'kalken', 'Limetten-', 'Limone']
ziggurat	['Zikkurat']
girlish	['mädchenhaft']
sufficient	['genügend', 'hinreichend', 'ausreichend']
polysemic	['mehrdeutig']
intellectual property	['geistiges Eigentum']
lesbian	['Lesbe', 'Lesbierin', 'Lesben-', 'lesbisch']
Temple of Heaven	['Himmelstempel']
hip bone	['Hüftknochen']
untidy	['unordentlich']
consume	['verbrauchen']
demobilization	['Demobilisierung']
reap	['Garbe', 'einheimsen', 'ernten', 'sensen', 'einsammeln', 'absensen', 'schneiden', 'mähen', 'sammeln']
potassium	['Kalium']
high-rise	['Hochhaus']
favorable	['']
fulminant	['ausgezeichnet', 'glänzend', 'fulminant']
musk mallow	['']
denominator	['Nenner']
dead as a doornail	['mausetot']
classical music	['klassische Musik', 'Klassik']
rehearse	['proben', 'üben', 'erzählen', 'wiederholen']
defragment	['defragmentieren']
restriction	['Beschränkung', 'Verbot', 'Einschränkung']
ludicrous	['aberwitzig']
linguicide	['Linguozid', 'Sprachenmord', 'Sprachmord', 'Linguizid']
verge	['', 'grenzen an', 'Rand']
scrutore	['']
command	['beherrschen', 'kommandieren', 'Kommando', 'Befehl', 'befehlen']
enteritis	['Enteritis']
Xinjiang	['Sinkiang']
coronary artery	['Koronararterie']
granodiorite	['Granodiorit']
scriptwriter	['']
Lucifer	['Luzifer']
damp	['feucht', 'anfeuchten', 'dämpfen', 'ersticken', 'abdampfen', 'befeuchten', 'Feuchtigkeit']
continuous	['stetig', 'kontinuierlich']
deuterium	['Deuterium']
absorbed	['vertieft']
stockfish	['Stockfisch']
odds and ends	['Krimskrams']
free speech	['Redefreiheit', 'freie Meinungsäußerung']
racism	['Rassismus']
percentile	['Perzentil']
Arabic numeral	['indisch-arabische Ziffer', 'arabische Ziffer']
ad infinitum	['ad infinitum', 'endlos']
equestrianism	['Reiten', 'Pferdesport', 'Reitsport']
dunce cap	['Eselsmütze']
eat pussy	['Muschi lecken']
whip	['', 'Peitsche', 'schlagen', 'peitschen', 'auspeitschen', 'anpeitschen']
Aldebaran	['Aldebaran']
rue	['Gnadenkraut', 'Weinkraut', 'Weinraute', 'Totenkraut', 'Gartenraute', 'Raute', 'bereuen', 'Kreuzraute', 'Gertrudenkraut']
zinc pyrithione	['Zink-Pyrithion']
National Socialist	['Nationalsozialist', 'Nationalsozialistin']
sand cat	['Sandkatze']
straight man	['Stichwortgeberin', 'Stichwortgeber']
pitchblende	['Pechblende']
alchemy	['Alchemie']
inflate	['aufblähen', 'aufpumpen', 'aufblasen']
caseworker	['']
orifice	['', 'Öffnung']
think nothing of it	['']
kleptocracy	['Diebesherrschaft', 'Kleptokratie']
infernal	['Höllen-', 'infernalisch', 'höllisch']
black-throated antshrike	['Schwarzkehl-Ameisenwürger']
Srinagar	['Srinagar']
on a par	['auf einer Ebene mit', 'gleichwertig', 'ebenbürtig', 'auf Augenhöhe mit', 'gleichauf', 'auf einer Höhe mit']
adularia	['Adular']
well-founded	['fundiert']
forbidden fruit	['verbotene Frucht']
thingamajigger	['Dingsbums', 'Dingsda']
overthrow	['Umsturz', 'umstürzen', 'stürzen']
cloister vault	['Klostergewölbe']
prise	['']
inward	['innere', 'nach innen']
insanity	['Wahnsinn']
technique	['Technik']
stunned	['betäubt', 'verblüfft', 'fassungslos', 'baff', 'sprachlos']
timber	['Bauholz', 'Holz']
trip up	['Bein stellen']
cobblestone	['Katzenkopfpflasterstein', 'Katzenkopf', 'Pflasterstein']
deflect	['ausweichen', 'ablenken']
introjection	['Introjektion']
partaker	['Teilhaberin', 'Teilhaber']
rheometer	['Rheometer']
tetrahedron	['Tetraeder']
vamp	['Vamp']
wolffish	['Seewolf']
ovenproof	['ofenfest']
inspirator	['']
simplification	['Vereinfachung']
logopedics	['Logopädie']
unreasonable	['unvernünftig']
Jack-in-the-pulpit	['gefleckter Aronstab']
Magna Carta	['Magna Carta']
Franco-Provençal	['Frankoprovenzalisch']
tradesman	['Handwerker']
millimetre	['Millimeter']
restaurant	['Gaststätte', 'Restaurant']
anode slime	['Anodenschlamm']
eider	['Eiderente']
wollastonite	['Wollastonit']
adaptee	['Adaptierte']
martini	['Martini']
stewardess	['Flugbegleiterin', 'Stewardess']
fossa	['Fossa']
modern	['modern']
tattletale	['Anschwärzer', 'verräterisch', 'Verpetzer', 'Verpfeifer', 'Quatschtüte', 'Klatschbase', 'Schwätzer  / Schwätzerin', 'Petze', 'Tratschtante', 'Quasselstrippe']
trackball	['Trackball']
sago	['Sago']
sandgrouse	['Flughuhn']
sleazy	['mies', 'schäbig', 'frivol', 'vulgär']
fug	['Muff']
gemsbok	['Spießbock', 'Gemsbok']
South Australia	['South Australia']
New England	['Neuengland']
sparerib	['Rippchen', 'Schälrippchen', 'Leiterchen']
proximity	['Nachbarschaft', 'Nähe']
Pan-American	['panamerikanisch']
Great Dane	['Dänische Dogge', 'Deutsche Dogge']
three	['drei', 'Drei']
isn't it so	['nicht wahr?']
paleontologist	['Paläontologin', 'Paläontologe']
oldness	['Alter']
Mickey Mouse	['Micky Maus']
Glagolitic alphabet	['']
blanket	['Schicht', 'zudecken', 'Decke', 'allumfassend', 'General-', 'abgrasen', 'durchstreifen', 'Wolldecke', 'Lage', 'verdecken', 'allgemeine', 'Bettdecke', 'umfassend', 'abdecken', 'decken', 'allgemein', 'überdecken']
storey	['Stock', 'Geschoss', 'Etage', 'Stockwerk']
programming principle	['Programmierprinzip']
halter	['Halfter']
ninetieth	['neunzigste']
cell theory	['Zelltheorie']
light year	['Lichtjahr']
obey	['befolgen', 'gehorchen']
mattress	['Matratze']
diesel	['Diesel']
conservation of energy	['Energieerhaltung']
Osmussaar	['Odinsholm', 'Osmussaar']
Galician	['Galizisch', 'Galicisch', 'Galizier', 'galizisch', 'galicisch', 'Galicierin', 'Galizierin', 'Galicier']
vaseline	['Vaseline']
letter to the editor	['Leserbrief']
carbonated water	['Sodawasser']
break out	['ausbrechen']
schist	['Glimmerschiefer']
pederastic	['päderastisch']
rock and roll	['Rock ’n’ Roll']
on foot	['zu Fuß']
callous	['schwielig', 'verhärtet', 'gefühllos', 'abgestumpft']
tennis elbow	['Tennisellenbogen']
come into being	['entstehen']
penalty mark	['Elfmeterpunkt']
rehabilitation	['Ehrenrettung', 'Wiedernutzbarmachung', 'Wiedereinsetzung', 'Wiedereingliederung', 'Resozialisierung', 'Entlastung', 'Rehabilitation', 'Wiederherstellung']
Möbius band	['']
indiscriminate	['willkürlich', 'unüberlegt', 'gedankenlos', 'wahllos']
hydrodynamics	['Hydrodynamik']
West Flanders	['West-Flandern']
snakefly	['Kamelhalsfliege']
dioptase	['Dioptas']
sleepy head	['']
thermostat	['Thermostat']
panegyric	['Lobrede', 'Panegyrik']
lion cub	['Löwenbaby', 'Löwenwelpin', 'Löwenjunges', 'Löwenwelpe']
Achaea	['Achäa', 'Achaia']
all thumbs	['zwei linke Hände haben']
caravan	['Wohnwagen', 'Caravan', 'Karawane']
parallel	['Breitenkreis', 'Parallele', 'Breitengrad', 'parallel zu', 'parallel']
Eurolinguistics	['Eurolinguistik']
beer parlor	['']
happy birthday	['alles Gute zum Geburtstag', 'herzlichen Glückwunsch zum Geburtstag', 'viel Glück zum Geburtstag']
Venetic	['Venetisch']
supervision	['Beaufsichtigung', 'Aufsicht']
weave	['weben', 'Webart']
champian	['']
money market	['Geldmarkt']
ware	['Ware']
yin-yang	['Yin und Yang']
sherry	['Sherry']
topboot	['Stulpenstiefel']
delivery	['Geburt', 'Entbindung', 'Lieferung']
Amelia	['Amelie']
French Polynesia	['Französisch-Polynesien']
taboo	['tabuisieren', 'Tabu', 'tabu']
soapbox	['']
molecatcher	['Maulwurffängerin', 'Maulwurffänger']
lord	['herrschen', 'Herr', 'Gebieter']
street	['Straße']
summer solstice	['Sommersonnenwende']
sustainability	['Zukunftsfähigkeit', 'Nachhaltigkeit']
telemetry	['Telemetrie']
in the doghouse	['in Ungnade']
acclimation	['']
vertebral column	['Wirbelsäule', 'Rückgrat']
anarchism	['Anarchismus']
Edo	['Jeddo', 'Edo ; Jedo']
Sopron	['Ödenburg']
unbutton	['aufknöpfen']
coastal	['Küsten-']
Hesperides	['Hesperiden']
large	['groß', 'weit']
hematemesis	['Bluterbrechen']
glance	['Blick', 'Glanz', 'Steinkohle', 'Streifblick', 'blicken']
Peshitta	['Peschitta']
lifelong	['lebenslang']
barrel organ	['Drehorgel', 'Leierkasten']
dugout	['Erdloch', 'Einbaum']
histidine	['Histidin']
badge	['Abzeichen']
defilement	['Verunreinigung']
chasuble	['Kasel']
technical analysis	['technischer analyse']
local cell	['Lokalelement']
barter	['tauschen', 'Tauschhandel']
iconography	['Ikonografie']
sub	['Atom-U-Boot', 'U-Boot']
Ariel	['Ariel']
onomatopoeic	['lautmalend', 'onomatopöetisch', 'lautmalerisch', 'onomatopoetisch']
exhausted	['erschöpft']
weaver	['Weberin', 'Weber', 'Webervogel']
carbonated	['kohlensäurehaltig', 'sprudelnd']
amniotic fluid	['Fruchtwasser']
Telescopium	['Teleskop']
anapest	['Anapäst']
wide awake	['hellwach']
touch-tone dialing	['Tonwahl', 'Tonwahlverfahren']
position	['postieren', 'Stellung', 'positionieren', 'Position', 'Stelle', 'Arbeitsplatz']
Negus	['Negus']
unicorn	['Einhorn']
sign of the cross	['Kreuzzeichen ; Bekreuzigung']
Tirzah	['Thirza', 'Tirza']
mafia	['Mafia']
medic	['']
memoirs	['']
regardless	['ungeachtet']
this and that	['dies und das']
nuclear power plant	['Atomkraftwerk', 'Kernkraftwerk']
prison camp	['Gefangenenlager']
hang out	['abhängen', 'herumhängen']
pharyngeal	['pharyngisch', 'pharyngal']
dysphemism	['Kakophemismus', 'Dysphemismus']
iffy	['dubios']
proud	['stolz', 'prahlerisch']
dire straits	['Notlage']
Nicobar Islands	['Nikobaren']
rear-end	['hinten auffahren']
eeny, meeny, miny, moe	['ene mene mu']
race meeting	['Rennveranstaltung']
sparkling wine	['Sekt', 'Schaumwein']
change of heart	['Sinneswandel']
Erlenmeyer flask	['Erlenmeyerkolben']
baking soda	['Backnatron', 'Natron']
kiwi	['Kiwi', '']
mutilate	['verschandeln', 'verstümmeln']
visa-on-arrival	['Visum bei Ankunft']
thiosulfuric acid	['Thioschwefelsäure']
square wave	['Rechtecksignal', 'Rechteckschwingung']
physiotherapy	['Physiotherapie']
inconvenient	['inopportun', 'unangebracht', 'ungünstig', 'lästig', 'ungelegen', 'unbequem', 'unannehmlich', 'unpassend', 'unpraktisch']
handsaw	['Fuchsschwanz', 'Handsäge']
clavis	['']
equitable	['fair', 'gerecht', 'ehrlich']
scram	['abhauen', 'weggehen']
cold hands, warm heart	['warmes Herz', 'kalte Hand']
common shrew	['Waldspitzmaus']
grenade	['', 'Granate']
metrology	['Metrologie']
tarpaulin	['Persenning', 'Plane']
presumptuous	['überheblich', 'anmaßend']
praetor	['Prätor']
zoo	['Tierpark', 'Zoo', 'Tiergarten']
forty-eight	['achtundvierzig']
grammatical	['grammatisch', 'grammatikalisch']
food stamp	['Essensmarke']
productivity	['Produktivität', 'Leistungsfähigkeit']
outboard	['']
lead astray	['irreführen']
mole cricket	['Maulwurfsgrille']
Eindhoven	['Eindhoven']
Mafia	['Mafia']
space bar	['Leertaste']
rheology	['Rheologie', 'Fließkunde']
rising	['steigend', 'aufgehend']
True Cross	['Kreuz Christi', 'Heiliges Kreuz', 'Kreuz']
bricklayer	['Maurer']
grasshopper	['Heuschrecke', 'Grashüpfer']
eyebright	['Augentrost']
Nephilim	['Nephilim']
dinitrogen tetroxide	['distickstofftetroxid']
uniqueness	['Einzigkeit', 'Eindeutigkeit', 'Eigenart', 'Einmaligkeit']
coral island	['Koralleninsel']
Old Low German	['']
snakehead	['Schlangenkopffisch']
Hue	['Huë', 'Hué']
binary	['Binärcode', 'Binärsystem', 'binär']
nineteenthly	['neunzehntens']
dote	['schwärmen', 'Schatz', 'Schätzchen', 'einen Narren fressen', 'Liebling', 'vernarrt sein', 'verhätscheln']
atomic nucleus	['Atomkern']
commemorate	['gedenken', 'erinnern an']
dreamland	['Traumland']
peachfuzz	['Pfirsichflaum']
kitchen hood	['']
lockjaw	['Wundstarrkrampf', 'Tetanus']
cheetah	['Gepard']
temperature	['erhöhte Temperatur', 'Temperatur']
existential	['existenziell']
she-goat	['Zibbe', 'Ziege', 'Geiß', 'Zicke']
cynic	['Zyniker']
wrung	['gewrungen', 'wrang']
rupee	['Rupie']
Bratislava	['Pressburg', 'Preßburg', 'Bratislava']
abrupt	['kurz angebunden', 'schroff', 'abrupt', 'steil', 'wortkarg', 'jäh', 'einsiblig', 'abgestumpft']
wren	['Zaunkönig']
solution	['Lösung']
clubhouse	['Klubhaus']
keep it up	['weiter so']
an apple a day keeps the doctor away	['ein Apfel pro Tag hält den Doktor fern']
Glagolitic	['Glagolica']
deck	['', 'Deck', 'Kartenstapel', 'Kartenspiel']
blossom	['aufblühen', 'blühen', 'erblühen', 'Blüte']
ignition	['Zündung']
morpheme	['Morphem']
somatic	['somatisch']
Polynesia	['Polynesien']
past perfect	['']
revolt	['Revolte', 'revoltieren']
arraign	['vor Gericht bringen', 'anklagen']
Montserrat	['Montserrat']
sideburn	['']
prisoner	['Gefangene', 'Gefangener']
ingrate	['']
Nicholas	['Klaus', 'Nikolaus']
humus	['Humus']
speed bump	['Bodenschwelle', 'Fahrbahnschwelle  ; Hubbel', 'Bremsschwelle', 'Verkehrshubbel']
bray	['iahen']
Reform Judaism	['Reformjudentum']
without	['ohne']
epilator	['Epiliergerät', 'Epilierer']
Doctor	['Doktor', 'Doktorin', 'Dr.']
Jonathan	['Jonathan']
trust	['vertrauen', 'Vertrauen', 'Hoffnung', 'anschreiben']
People's Republic of Bangladesh	['Volksrepublik Bangladesch']
in two days	['in zwei Tagen', 'übermorgen']
diversion	['Entwässerung', 'Ablenkung', 'Unterhaltung', 'Zerstreuung', 'Umleitung']
bibliophobia	['Bbibliophobie']
shoeshiner	['Schuhputzerin', 'Schuhputzer']
not bad	['nicht schlecht', 'nicht schlimm']
paper tiger	['Papiertiger']
crib	['', 'Spickzettel', 'Gitterbett', 'Schummelzettel']
nativity play	['Krippenspiel']
Coulomb's constant	['Coulomb-Konstante']
gallop	['galoppieren', 'Galopp']
Euclidean	['euklidisch']
Indonesian	['Indonesier', 'indonesisch', 'Indonesierinnen', 'indonesische Sprache', 'Indonesierin', 'Indonesisch']
enlighten	['aufklären']
unvariable	['']
self-awareness	['Selbstbewusstsein']
epigone	['Epigone', 'Epigonin']
category	['Kategorie']
binder	['Anzahlung', 'Hefter', 'Dossier', 'Binder', 'Buchbinder', 'Mappe', 'Ballenpresse', 'Ordner', 'Bindemittel', 'Bindung']
river horse	['']
grave	['dunkel', 'furchtgebietend', '', 'respektgebietend', 'gravitätisch', 'Grab', 'dumpf', 'gewichtig', 'gemessen']
hatter	['Hutmacher', 'Hutmacherin']
open-minded	['aufgeschlossen']
awakened	['geweckt', 'erweckt', 'aufgeweckt']
break-even point	['Gewinnschwelle']
retain	['festhalten', 'behalten']
reinfarction	['Reinfarkt', 'Rezidivinfarkt']
narcissus	['Narzisse']
khat	['Kathstrauch']
klick	['Klemme']
Brabant	['Brabant']
culture shock	['Kulturschock']
shawl	['Schal']
Belizean	['belizisch', 'Belizer', 'Belizerin']
chargé d'affaires	['Geschäftsträgerin', 'Geschäftsträger']
pickthank	['Jasager']
Jewess	['Jüdin']
emperor	['Imperator', 'Kaiser']
blotting paper	['Fließpapier', 'Löschblatt', 'Löschpapier', 'Schreibunterlage']
martin	['Mehlschwalbe']
buttonwood	['']
supporter	['Unterstützer', 'Schildhalter', 'Anhänger']
dream come true	['wahr gewordener Traum']
transitional	['Übergangs-', 'vorläufig', 'übergangsweise']
phenotype	['Erscheinungsbild', 'Phänotyp']
cytosol	['Cytosol']
advantageously	['zweckmäßigerweise']
methyl isobutyl ketone	['Methylisobutylketon']
liver sausage	['Leberwurst']
accoutred	['gerüstet']
radioactive decay	['radioaktiver Zerfall']
real number	['', 'reelle Zahl']
hydroxide	['Hydroxid']
visitant	['']
distributivity	['Distributivgesertz', 'Distributivität']
louis d'or	"[""Louis d'or"", 'Louisdor', ""Louisd'or""]"
modality	['Modalität']
deputize	['vertreten', 'ernennen']
marmoset	['Marmosette']
quality of life	['Lebensqualität']
mesentery	['Gekröse']
means	['Mittel']
hypersexuality	['Hypersexualität']
nevermore	['']
shithead	['Arschloch', 'Scheißkopf']
Norwegian Sea	['Europäisches Nordmeer']
escalate	['eskalieren']
margin	['Gewinnmarge', 'Marge', 'Gewinnspanne', 'Seitenrand']
take a break	['eine Pause machen']
black light	['Schwarzlicht']
barrow	['Borg', 'Karren', 'Grabhügel', 'Karre']
shareowner	['']
shopping basket	['Warenkorb']
co-ed	['Studentin']
jeweler's	['']
Lower Silesian	['Niederschlesisch']
lieu	['']
potato pancake	['Reibekuchen', 'Kartoffelpuffer', 'Reibeplätzchen']
behave oneself	['']
gigantism	['Gigantismus']
pursue	['nachjagen', 'folgen', 'beschreiten', 'verfolgen', 'nachgehen']
laughing gull	['Lachmöwe', 'Aztekenmöwe']
brand	['', 'Brandzeichen', 'Zuchtbrand', 'Brandmal', 'Marke', 'Label']
kinome	['Kinom']
wooing	['']
infectious	['infektiös', 'ansteckend']
packetize	['paketieren']
picture book	['Bilderbuch']
delicious	['köstlich', 'schmackhaft', 'lecker', 'geschmackvoll']
completely	['ganz', 'völlig', 'vollumfänglich', 'vollständig']
superfamily	['Überfamilie']
Slovak	['slowakisch', 'Slowakisch', 'Slowakin', 'Slowake']
pike-perch	['']
Marcius	['Marcius']
thermonuclear	['thermonuklear']
Alvíssmál	['', 'Alvíssmál']
diatomaceous earth	['Kieselguhr', 'Diatomeenerde']
optic chiasm	['Chiasma opticum', 'Sehnervkreuzung', 'Sehnervenkreuzung']
Kirchhoff's circuit laws	['Kirchhoffsche Gesetze']
surety	['', 'Bürgschaft', 'Bürge']
swimsuit	['Badeanzug', 'Schwimmanzug']
comprise	['bestehen aus', 'beinhalten']
quindecillion	['Oktillion', 'Quindezillion']
hexamethylenediamine	['Hexamethylendiamin']
step	['Sprosse', 'schreiten', 'Schritt', 'Stufe', 'treten']
bicarbonate	['Bicarbonat']
Friulian	['Furlanisch', 'Friaulisch', 'Friulanisch']
Romani	['', 'Romani', 'Zigeunersprache', 'Roma-Sprache']
Zika virus	['Zika-Virus']
croissant	['Hörnchen', 'Croissant']
dual number	['']
stoichiometric	['stöchiometrisch']
Ctesiphon	['Ktesiphon']
Cinderella	['Aschenputtel']
La Pérouse Strait	['La-Pérouse-Straße']
call a spade a spade	['das Kind beim Namen nennen']
lily	['Lilie']
6th	['6.']
motorcar	['']
occupational therapy	['Beschäftigungstherapie', 'Ergotherapie']
lordship	['der Herr']
Guam	['Guam']
Chippewa	['']
clinical examination	['']
archaist	['']
Timbuktu	['Timbuktu', 'Buxtehude']
seminude	['']
web page	['Webseite']
interfere	['interferieren', 'erschweren', 'einmischen', 'eingreifen', 'musterbildend gegenseitig beeinflussen', 'stören', 'kohärent überlagern']
marriage	['Verheiratung', 'Heirat', 'Ehe', 'Hochzeit']
Canberra	['Canberra']
dare	['herausfordern', 'trotzen', 'riskieren', 'Mutprobe', 'wagen']
lake dwelling	['Pfahlbau']
despotic	['despotisch']
herringlike	['heringsähnlich']
Niger	['Niger']
grammar school	['Gymnasium']
borough	['Stadtbezirk', 'Bezirk', 'Quartier', 'Burg', 'Gemeinde']
intersectionality	['Intersektionalität']
lyricist	['Liedtexter', 'Textdichter']
reindeer moss	['Rentierflechte']
subtropics	['Subtropen']
bowl	['', 'Schüssel', 'Schale']
theogony	['Theogonie']
rabbit hole	['Kaninchenbau', 'Kaninchenhöhle', 'Kaninchenloch']
Petrarchan sonnet	['italienisches Sonett', 'Petrarca-Sonett']
one million	['']
merchant ship	['']
war film	['Kriegsfilm']
foot soldier	['']
flame retardant	['Flammschutzmittel', 'Brandhemmer']
headwind	['Gegenwind']
seventh	['siebente', 'siebte', 'Septime']
lymphoma	['Lymphom']
unwillingly	['widerwillig', 'unwillig']
molar volume	['Molvolumen']
anytime	['', 'jederzeit', 'immer']
baculovirus	['Baculovirus']
sinking ship	['sinkendes Schiff']
occiput	['Hinterkopf']
reading glasses	['Lesebrille']
ominous	['unheilvoll', 'schicksalschwer', 'unheilbringend', 'ominös', 'verhängnisvoll', 'unheilsschwanger', 'ahnungsvoll']
lose one's way	['']
parliament	['Parlament', 'Eulenschwarm']
intrude	['stören', 'sich eindrängen', 'eindringen']
widespread	['weitverbreitet']
laugh up one's sleeve	['sich ins Fäustchen lachen']
unsafely	['gefährlich']
labyrinth	['Labyrinth']
ostinato	['Ostinato']
race	['Rennen', 'Geschlecht', 'rasen', 'Rasse']
fearlessness	['Furchtlosigkeit']
Naomi	['Noomi', 'Noemi']
sinter	['sintern']
unvisibly	['']
unmanaged code	['nicht verwalteter Code', 'nicht verwalteter Kode']
fine	['herrlich', 'sexy', 'akzeptabel', 'klären', 'sieben', 'Bußgeld', 'Geldstrafe', 'mit einer Geldstrafe belegen', 'heiß', 'fein', 'filtern', 'filigran', 'gut', 'Geldbuße', 'genügend', 'passabel']
outcome	['Ausgang', 'Ergebnis']
incomprehensible	['unbegreiflich', 'unfassbar', 'unverständlich']
Norwegian Nynorsk	['']
meritocracy	['Meritokratie']
trigonal	['trigonal']
